wp,x,y,yaw_imu
wp215,13588338.46,8085293.668,0.856447421
wp216,13588337.36,8085294.008,0.841989744
wp217,13588336.26,8085294.348,0.825185773
wp218,13588335.16,8085294.689,0.805524627
wp219,13588334.06,8085295.03,0.784876436
wp220,13588332.97,8085295.372,0.766433808
wp221,13588331.87,8085295.714,0.753223616
wp222,13588330.77,8085296.056,0.745251256
wp223,13588329.67,8085296.399,0.740015152
wp224,13588328.57,8085296.742,0.734785172
wp225,13588327.48,8085297.085,0.726214569
wp226,13588326.38,8085297.429,0.710800951
wp227,13588325.28,8085297.774,0.686100063
wp228,13588324.18,8085298.118,0.654435114
wp229,13588323.09,8085298.463,0.61947139
wp230,13588321.99,8085298.809,0.582814775
wp231,13588320.89,8085299.154,0.538251461
wp232,13588319.8,8085299.501,0.485475903
wp233,13588318.7,8085299.847,0.439795623
wp234,13588317.6,8085300.194,0.416535339
wp235,13588316.51,8085300.541,0.411866131
wp236,13588315.41,8085300.889,0.410614098
wp237,13588314.31,8085301.236,0.400278988
wp238,13588313.22,8085301.585,0.384314458
wp239,13588312.12,8085301.933,0.37177465
wp240,13588311.03,8085302.282,0.371654364
wp241,13588309.93,8085302.631,0.386227556
wp242,13588308.84,8085302.981,0.405313907
wp243,13588307.74,8085303.33,0.418358182
wp244,13588306.64,8085303.68,0.424430727
wp245,13588305.55,8085304.031,0.428082629
wp246,13588304.45,8085304.381,0.433688274
wp247,13588303.36,8085304.732,0.441740311
wp248,13588302.26,8085305.083,0.449589205
wp249,13588301.17,8085305.435,0.455023708
wp250,13588300.07,8085305.787,0.458371664
wp251,13588298.98,8085306.139,0.46069019
wp252,13588297.88,8085306.491,0.460986554
wp253,13588296.79,8085306.843,0.455023168
wp254,13588295.69,8085307.196,0.438830855
wp255,13588294.6,8085307.549,0.416481785
wp256,13588293.5,8085307.902,0.398096319
wp257,13588292.41,8085308.256,0.390471563
wp258,13588291.32,8085308.61,0.391125638
wp259,13588290.22,8085308.964,0.396042809
wp260,13588289.13,8085309.318,0.401235222
wp261,13588288.03,8085309.672,0.405418895
wp262,13588286.94,8085310.027,0.412234724
wp263,13588285.84,8085310.382,0.425719488
wp264,13588284.75,8085310.737,0.443284703
wp265,13588283.66,8085311.092,0.452604598
wp266,13588282.56,8085311.447,0.44118222
wp267,13588281.47,8085311.803,0.410935582
wp268,13588280.37,8085312.158,0.378311258
wp269,13588279.28,8085312.514,0.354296642
wp270,13588278.19,8085312.87,0.341528379
wp271,13588277.09,8085313.227,0.341798624
wp272,13588276,8085313.583,0.352691102
wp273,13588274.9,8085313.94,0.368236805
wp274,13588273.81,8085314.296,0.382367243
wp275,13588272.72,8085314.653,0.391720289
wp276,13588271.62,8085315.01,0.399055598
wp277,13588270.53,8085315.367,0.40765478
wp278,13588269.44,8085315.725,0.418941288
wp279,13588268.34,8085316.082,0.433668506
wp280,13588267.25,8085316.44,0.452587634
wp281,13588266.16,8085316.797,0.475486445
wp282,13588265.06,8085317.155,0.499479342
wp283,13588263.97,8085317.513,0.521220924
wp284,13588262.88,8085317.871,0.537979979
wp285,13588261.78,8085318.229,0.549066207
wp286,13588260.69,8085318.587,0.554565819
wp287,13588259.6,8085318.945,0.556593468
wp288,13588258.5,8085319.303,0.557986705
wp289,13588257.41,8085319.662,0.561556787
wp290,13588256.32,8085320.02,0.568379691
wp291,13588255.22,8085320.379,0.5767798
wp292,13588254.13,8085320.737,0.584823033
wp293,13588253.04,8085321.096,0.590374929
wp294,13588251.94,8085321.455,0.591154045
wp295,13588250.85,8085321.813,0.585178712
wp296,13588249.76,8085322.172,0.573882795
wp297,13588248.66,8085322.531,0.560853222
wp298,13588247.57,8085322.89,0.549710572
wp299,13588246.48,8085323.249,0.543117065
wp300,13588245.38,8085323.607,0.540250696
wp301,13588244.29,8085323.966,0.539374903
wp302,13588243.2,8085324.325,0.537886437
wp303,13588242.1,8085324.684,0.53280954
wp304,13588241.01,8085325.043,0.521167016
wp305,13588239.92,8085325.402,0.501332661
wp306,13588238.82,8085325.761,0.478386663
wp307,13588237.73,8085326.12,0.459486188
wp308,13588236.63,8085326.479,0.449823711
wp309,13588235.54,8085326.837,0.447512612
wp310,13588234.45,8085327.196,0.449072928
wp311,13588233.35,8085327.555,0.450723168
wp312,13588232.26,8085327.914,0.444182533
wp313,13588231.17,8085328.272,0.417713033
wp314,13588230.07,8085328.631,0.36558393
wp315,13588228.98,8085328.989,0.32392714
wp316,13588227.89,8085329.347,0.322012535
wp317,13588226.79,8085329.706,0.339256184
wp318,13588225.7,8085330.064,0.349023876
wp319,13588224.6,8085330.422,0.324681398
wp320,13588223.51,8085330.779,0.247172843
wp321,13588222.42,8085331.137,0.163094574
wp322,13588221.32,8085331.495,0.115916968
wp323,13588220.23,8085331.852,0.096253484
wp324,13588219.13,8085332.209,0.090688235
wp325,13588218.04,8085332.566,0.085805331
wp326,13588216.95,8085332.923,0.068973417
wp327,13588215.85,8085333.28,0.043004713
wp328,13588214.76,8085333.636,0.022400434
wp329,13588213.66,8085333.992,0.008057619
wp330,13588212.57,8085334.348,-0.004207456
wp331,13588211.48,8085334.704,-0.018526728
wp332,13588210.38,8085335.059,-0.03800977
wp333,13588209.29,8085335.415,-0.064896246
wp334,13588208.19,8085335.77,-0.101059537
wp335,13588207.1,8085336.124,-0.142149729
wp336,13588206,8085336.479,-0.178355094
wp337,13588204.91,8085336.833,-0.201975521
wp338,13588203.82,8085337.187,-0.216143888
wp339,13588202.72,8085337.54,-0.227183577
wp340,13588201.63,8085337.894,-0.24095498
wp341,13588200.53,8085338.247,-0.259488171
wp342,13588199.44,8085338.599,-0.282924003
wp343,13588198.34,8085338.952,-0.311345382
wp344,13588197.25,8085339.304,-0.342863784
wp345,13588196.15,8085339.655,-0.37288428
wp346,13588195.06,8085340.006,-0.397426265
wp347,13588193.96,8085340.357,-0.419946133
wp348,13588192.87,8085340.708,-0.447897571
wp349,13588191.77,8085341.058,-0.48849228
wp350,13588190.68,8085341.407,-0.538617886
